make,model,price,quantity,class,weight,hp,fuel_cost,ev,co2,eligible,co2_gpm
honda,civic,28.42679902,126.598,sedan,1.4385,1.58,1500,0,48.3832,0,243
ford,escape,29.79070848,14.37,suv,1.649,1.81,1850,0,58.05984,0,293
nissan,altima,26.16794056,38.889,sedan,1.622,1.88,1700,0,55.64068,0,278
subaru,outback,37.04807619,44.258,suv,1.8185,1.82,2100,0,61.68858,0,308
mazda,cx-5,32.11043428,50.448,suv,1.8585,1.86,2100,0,67.73648,0,337
honda,accord,32.1526816,79.508,sedan,1.575,1.92,1650,0,53.22152,0,268
subaru,crosstrek,29.7885798,48.278,suv,1.5585,1.52,1850,0,60.479,0,302
hyundai,tucson,32.57277187,24.795,suv,1.6645,1.87,1900,0,62.89816,0,314
jeep,wrangler,53.16248038,26.652,suv,1.974,2.85,2500,0,81.04186,0,404
nissan,rogue,32.01572346,24.974,suv,1.726,2.01,1650,0,54.4311,0,271
tesla,model 3,49.74684476,179.605,sedan,1.94,2.83,550,1,17.0369343,1,85.18465
ford,explorer,45.89273518,43.445,suv,2.1725,3,2300,0,77.41312,0,386
chevy,equinox,28.70322414,24.716,suv,1.637,1.7,1950,0,64.10774,0,318
toyota,corolla,23.8147344,88.909,sedan,1.455,1.39,1650,0,50.80236,0,257
toyota,highlander,45.04924941,47.483,suv,2.0725,2.95,2300,0,74.99396,0,372
jeep,grand cherokee,48.44762572,28.614,suv,2.119,2.93,2500,0,82.25144,0,413
tesla,model y,60.53993015,233.349,suv,2.208,3.9,550,1,17.0369343,1,85.18465
toyota,tacoma,41.08833622,112.472,pickup,2.2225,1.59,2750,0,88.29934,0,441
honda,cr-v,33.58106993,62.945,suv,1.6685,1.9,1850,0,59.26942,0,294
gmc,sierra,62.52628271,24.795,pickup,2.375,3.1,3050,0,97.97598,0,492
toyota,camry,30.41456567,128.959,sedan,1.655,2.03,2100,0,67.73648,0,338
toyota,rav4,32.98229673,87.067,suv,1.69,2.03,1850,0,59.26942,0,296
ram,1500,59.53477246,44.683,pickup,2.439,3.05,2550,0,83.46102,0,418
chevy,silverado,50.76996518,66.729,pickup,2.37,3.1,3050,0,96.7664,0,486
ford,f-150,52.78981385,63.194,pickup,2.2325,2.9,2600,0,87.08976,0,433
ford,f-150 lightning,78.05438968,3.865,pickup,3.25,4.26,1050,1,17.0369343,1,85.18465
volkswagen,id.4,48.35072833,15.644,suv,2.284,2.01,650,1,17.0369343,1,85.18465
kia,ev6,56.55896277,6.31,suv,2.0085,1.67,600,1,17.0369343,0,85.18465
hyundai,ioniq 5,53.75065108,11.087,suv,1.984,1.68,650,1,17.0369343,0,85.18465
tesla,model x,96.08262412,19.332,suv,2.5925,6.7,700,1,17.0369343,1,85.18465
chevy,bolt ev/euv,35.10532115,34.94,suv,1.7945,2,600,1,17.0369343,1,85.18465
tesla,model s,92.75254068,17.325,sedan,2.2805,6.7,600,1,17.0369343,1,85.18465
ford,mustang mach-e,56.98226923,20.222,suv,2.159,2.66,700,1,17.0369343,1,85.18465
bentley,continental,376.1,0.517,sedan,2.387,6.54,4000,0,98.66666667,0,820
rolls royce,cullinan,401.5,0.018,suv,3.035,5.71,5100,0,125.3333333,0,626
