make,model,quantity,price,class,weight,hp,fuel_cost,ev,co2
honda,civic,133.932,23.645,sedan,1.4385,1.58,1500,0,48.3832
ford,escape,137.37,28.52,suv,1.649,1.81,1850,0,58.05984
nissan,altima,133.955,25.995,sedan,1.622,1.88,1700,0,55.64068
subaru,outback,147.262,28.82,suv,1.8185,1.82,2100,0,61.68858
mazda,cx-5,151.594,27.475,suv,1.8585,1.86,2100,0,67.73648
honda,accord,154.612,27.615,sedan,1.575,1.92,1650,0,53.22152
subaru,crosstrek,155.142,24.32,suv,1.5585,1.52,1850,0,60.479
hyundai,tucson,175.307,26.175,suv,1.6645,1.87,1900,0,62.89816
jeep,wrangler,181.409,31.59,suv,1.974,2.85,2500,0,81.04186
nissan,rogue,186.48,28.445,suv,1.726,2.01,1650,0,54.4311
tesla,model 3,198.2,48.19,sedan,1.94,2.83,550,1,17.0369343
ford,explorer,207.673,37.005,suv,2.1725,3,2300,0,77.41312
chevy,equinox,212.072,26.995,suv,1.637,1.7,1950,0,64.10774
toyota,corolla,222.216,21.45,sedan,1.455,1.39,1650,0,50.80236
toyota,highlander,222.805,37.07,suv,2.0725,2.95,2300,0,74.99396
jeep,grand cherokee,223.345,40.12,suv,2.119,2.93,2500,0,82.25144
tesla,model y,231.4,67.19,suv,2.208,3.9,550,1,17.0369343
toyota,tacoma,237.323,29.195,pickup,2.2225,1.59,2750,0,88.29934
honda,cr-v,238.155,28.045,suv,1.6685,1.9,1850,0,59.26942
gmc,sierra,241.522,42.895,pickup,2.375,3.1,3050,0,97.97598
toyota,camry,295.201,26.87,sedan,1.655,2.03,2100,0,67.73648
toyota,rav4,399.941,28.19,suv,1.69,2.03,1850,0,59.26942
ram,1500,468.344,40.995,pickup,2.439,3.05,2550,0,83.46102
chevy,silverado,513.354,42.095,pickup,2.37,3.1,3050,0,96.7664
ford,f-150,653.957,40.715,pickup,2.2325,2.9,2600,0,87.08976
ford,f-150 lightning,15.617,41.769,pickup,3.25,4.26,1050,1,17.0369343
volkswagen,id.4,20.511,42.525,suv,2.284,2.01,650,1,17.0369343
kia,ev6,20.498,42.695,suv,2.0085,1.67,600,1,17.0369343
hyundai,ioniq 5,22.982,41.245,suv,1.984,1.68,650,1,17.0369343
tesla,model x,31,122.19,suv,2.5925,6.7,700,1,17.0369343
chevy,bolt ev/euv,38.12,31.995,suv,1.7945,2,600,1,17.0369343
tesla,model s,90.473,106.19,sedan,2.2805,6.7,600,1,17.0369343
ford,mustang mach-e,39.458,44.995,suv,2.159,2.66,700,1,17.0369343
tesla,model 3,195.698,48.19,sedan,1.94,2.58,550,1,17.0369343
lamborghini,aventador coupe,0.221911946,498.258,sedan,2.4,7.69,6100,0,160.87414
rolls royce,phantom,0.042,465,sedan,2.9325,5.65,4800,0,122.6666667
